Ubicaciones,Tipo ubicación,Hecho Victimizante,Tipo Hecho,Afectación,Tipo Afectación,Temporalidad,Tipo Temporalidad,Entidades,Tipo Entidad
medellín,municipio,masacre,masacre,secuelas,físicas,noviembre,meses,víctima,entidades
abejorral,municipio,acribillado,masacre,violencia,físicas,abril,meses,muertos,entidades
abriaquí,municipio,acribillados,masacre,heridos,físicas,mayo,meses,muerto,entidades
alejandría,municipio,asesinado,masacre,asesinados,físicas,octubre,meses,profe,entidades
amagá,municipio,asesinato,masacre,asesinato,físicas,enero,meses,profesor,entidades
amalfi,municipio,asesinar,masacre,accidente,físicas,febrero,meses,sindicato,entidades
andes,municipio,matar,masacre,cicatrices,físicas,marzo,meses,personas,entidades
angelópolis,municipio,masacrar,masacre,herida,físicas,junio,meses,mamá,entidades
angostura,municipio,masacrado,masacre,esquirlas,físicas,julio,meses,papá,entidades
anorí,municipio,enfrentamiento,masacre,cáncer,físicas,agosto,meses,hermano,entidades
tununguá,municipio,combate,masacre,quemaduras,físicas,diciembre,meses,hermana,entidades
anza,municipio,conflicto,masacre,amputaciones,físicas,septiembre,meses,tío,entidades
apartadó,municipio,guerra,masacre,inmovilidad,físicas,1 de la mañana,horas,tía,entidades
arboletes,municipio,degollamiento,masacre,mutilación,físicas,2 de la mañana,horas,abuela,entidades
argelia,municipio,decapitar,masacre,dolores,físicas,3 de la mañana,horas,abuelo,entidades
armenia,municipio,degollar,masacre,nos auxiliaron,físicas,4 de la mañana,horas,minero,entidades
barbosa,municipio,homicidio,masacre,maltrato,físicas,5 de la mañana,horas,alcalde,entidades
bello,municipio,feminicidio,masacre,sufrimiento,físicas,6 de la mañana,horas,maestro,entidades
betania,municipio,exterminio,violencia política,muerte lenta,físicas,7 de la mañana,horas,el profe,entidades
betulia,municipio,partido,violencia política,recobrar la libertad,físicas,8 de la mañana,horas,banda marcial,entidades
ciudad bolívar,municipio,lucha,violencia política,secuelas,psicológicas,9 de la mañana,horas,niña,entidades
briceño,municipio,complot,violencia política,miedo,psicológicas,10 de la mañana,horas,familias,entidades
buriticá,municipio,paro,violencia política,extraño,psicológicas,11 de la mañana,horas,vecino,entidades
cáceres,municipio,embarazo,violencia sexual,terror,psicológicas,12 de la tarde,horas,líder,entidades
caicedo,municipio,parto,violencia sexual,memoria,psicológicas,1 de la tarde,horas,partera,entidades
caldas,municipio,violación,violencia sexual,desespero,psicológicas,2 de la tarde,horas,defensora,entidades
